cat,signature
SENSITIVE_UNCATEGORIZED,Intent android.app.ReceiverRestrictedContext.registerReceiver(BroadcastReceiver,IntentFilter,String,Handler)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.createChooser(Intent,CharSequence)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,Bundle)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,CharSequence)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,CharSequence[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,IBinder)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,Parcelable)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,Parcelable[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,Serializable)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,String)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,String[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,boolean)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,boolean[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,byte)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,byte[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,char)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,char[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,double)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,double[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,float)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,float[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,int)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,int[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,long)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,long[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,short)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtra(String,short[])
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtras(Bundle)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putExtras(Intent)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.putParcelableArrayListExtra(String,ArrayList)
SENSITIVE_UNCATEGORIZED,Intent android.content.Intent.setClassName(String,String)
SENSITIVE_UNCATEGORIZED,List gov.nist.core.MultiValueMapImpl.put(String,List)
SENSITIVE_UNCATEGORIZED,List gov.nist.core.MultiValueMapImpl.put(String,Object)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setActionProvider(ActionProvider)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setActionView(View)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setActionView(int)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setCheckable(boolean)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setChecked(boolean)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setEnabled(boolean)
SENSITIVE_UNCATEGORIZED,MenuItem com.android.internal.view.menu.ActionMenuItem.setShowAsActionFlags(int)
