cat,signature
NETWORK_INFORMATION,TrustManager[] javax.net.ssl.TrustManagerFactory.getTrustManagers()
NETWORK_INFORMATION,URL android.app.LoadedApk$WarningContextClassLoader.getResource(String)
NETWORK_INFORMATION,URL java.lang.BootClassLoader.getResource(String)
NETWORK_INFORMATION,URL java.lang.ClassLoader.getResource(String)
NETWORK_INFORMATION,View android.inputmethodservice.ExtractEditLayout$ExtractActionMode.getCustomView()
NETWORK_INFORMATION,boolean android.accessibilityservice.AccessibilityServiceInfo.getCanRetrieveWindowContent()
NETWORK_INFORMATION,int android.net.NetworkInfo.getType()
NFC,NfcAdapter android.nfc.NfcAdapter.getDefaultAdapter()
NFC,NfcAdapter android.nfc.NfcAdapter.getDefaultAdapter(Context)
NFC,int android.nfc.tech.Ndef.getMaxSize()
SENSITIVE_UNCATEGORIZED,AccessControlContext java.security.AccessController.getContext()
SENSITIVE_UNCATEGORIZED,AccessibilityInteractionController android.view.ViewRootImpl.getAccessibilityInteractionController()
SENSITIVE_UNCATEGORIZED,AccessibilityNodeInfo android.view.accessibility.AccessibilityNodeInfo.getChild(int)
SENSITIVE_UNCATEGORIZED,AccessibilityNodeInfo android.view.accessibility.AccessibilityNodeInfo.getParent()
SENSITIVE_UNCATEGORIZED,AccessibilityNodeInfo android.view.accessibility.AccessibilityRecord.getSource()
SENSITIVE_UNCATEGORIZED,AccessibilityRecord android.view.accessibility.AccessibilityEvent.getRecord(int)
SENSITIVE_UNCATEGORIZED,ActionBar android.app.Activity.getActionBar()
SENSITIVE_UNCATEGORIZED,ActionProvider com.android.internal.view.menu.ActionMenuItem.getActionProvider()
SENSITIVE_UNCATEGORIZED,ActionProvider com.android.internal.view.menu.MenuItemImpl.getActionProvider()
SENSITIVE_UNCATEGORIZED,Activity android.app.Activity.getParent()
SENSITIVE_UNCATEGORIZED,Activity android.app.Fragment.getActivity()
SENSITIVE_UNCATEGORIZED,ActivityInfo android.app.ApplicationPackageManager.getActivityInfo(ComponentName,int)
SENSITIVE_UNCATEGORIZED,Adapter android.widget.AdapterViewAnimator.getAdapter()
SENSITIVE_UNCATEGORIZED,AlertDialog android.app.AlertDialog$Builder.show()
SENSITIVE_UNCATEGORIZED,Animation android.view.animation.Animation.clone()
SENSITIVE_UNCATEGORIZED,Animation android.view.animation.AnimationUtils.loadAnimation(Context,int)
SENSITIVE_UNCATEGORIZED,Animator android.animation.Animator.clone()
SENSITIVE_UNCATEGORIZED,Annotation[] java.lang.reflect.AccessibleObject.getAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[] java.lang.reflect.AccessibleObject.getDeclaredAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[] java.lang.reflect.Constructor.getDeclaredAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[] java.lang.reflect.Field.getDeclaredAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[] java.lang.reflect.Method.getDeclaredAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[][] java.lang.reflect.Constructor.getParameterAnnotations()
SENSITIVE_UNCATEGORIZED,Annotation[][] java.lang.reflect.Method.getParameterAnnotations()
SENSITIVE_UNCATEGORIZED,AppWidgetManager android.appwidget.AppWidgetManager.getInstance(Context)
SENSITIVE_UNCATEGORIZED,AppWidgetProviderInfo android.appwidget.AppWidgetManager.getAppWidgetInfo(int)
SENSITIVE_UNCATEGORIZED,Application android.app.Activity.getApplication()
SENSITIVE_UNCATEGORIZED,ApplicationInfo android.app.ApplicationPackageManager.getApplicationInfo(String,int)
SENSITIVE_UNCATEGORIZED,ApplicationInfo android.app.ContextImpl.getApplicationInfo()
SENSITIVE_UNCATEGORIZED,ApplicationInfo android.content.ContextWrapper.getApplicationInfo()
SENSITIVE_UNCATEGORIZED,ArrayList android.content.Intent.getCharSequenceArrayListExtra(String)
SENSITIVE_UNCATEGORIZED,ArrayList android.content.Intent.getIntegerArrayListExtra(String)
SENSITIVE_UNCATEGORIZED,ArrayList android.content.Intent.getStringArrayListExtra(String)
SENSITIVE_UNCATEGORIZED,ArrayList android.os.Bundle.getStringArrayList(String)
SENSITIVE_UNCATEGORIZED,AssetFileDescriptor android.content.ContentProvider.openTypedAssetFile(Uri,String,Bundle)
SENSITIVE_UNCATEGORIZED,AssetManager android.app.ContextImpl.getAssets()
SENSITIVE_UNCATEGORIZED,AssetManager android.content.ContextWrapper.getAssets()
SENSITIVE_UNCATEGORIZED,Attributes java.util.jar.Manifest.getMainAttributes()
SENSITIVE_UNCATEGORIZED,BitSet java.util.BitSet.get(int,int)
SENSITIVE_UNCATEGORIZED,Bitmap android.graphics.Bitmap.createBitmap(Bitmap,int,int,int,int)
SENSITIVE_UNCATEGORIZED,Bitmap android.graphics.Bitmap.createBitmap(Bitmap,int,int,int,int,Matrix,boolean)
SENSITIVE_UNCATEGORIZED,Bitmap android.graphics.drawable.BitmapDrawable.getBitmap()
SENSITIVE_UNCATEGORIZED,Buffer java.nio.Buffer.flip()
SENSITIVE_UNCATEGORIZED,Buffer java.nio.Buffer.rewind()
SENSITIVE_UNCATEGORIZED,Bundle android.content.Intent.getBundleExtra(String)
SENSITIVE_UNCATEGORIZED,Button android.app.AlertDialog.getButton(int)
SENSITIVE_UNCATEGORIZED,Byte android.os.Bundle.getByte(String,byte)
SENSITIVE_UNCATEGORIZED,ByteBuffer java.nio.ByteBuffer.get(byte[])
SENSITIVE_UNCATEGORIZED,ByteBuffer java.nio.ByteBuffer.get(byte[],int,int)
SENSITIVE_UNCATEGORIZED,ByteBuffer java.nio.DirectByteBuffer.get(byte[],int,int)
SENSITIVE_UNCATEGORIZED,ByteBuffer java.nio.HeapByteBuffer.get(byte[],int,int)
SENSITIVE_UNCATEGORIZED,ByteBuffer java.nio.MappedByteBufferAdapter.get(byte[],int,int)
SENSITIVE_UNCATEGORIZED,ByteOrder java.nio.ByteBuffer.order()
SENSITIVE_UNCATEGORIZED,Calendar java.text.DateFormat.getCalendar()
SENSITIVE_UNCATEGORIZED,CharSequence android.app.Activity.getTitle()
SENSITIVE_UNCATEGORIZED,CharSequence android.app.ApplicationPackageManager.getApplicationLabel(ApplicationInfo)
SENSITIVE_UNCATEGORIZED,CharSequence android.content.Intent.getCharSequenceExtra(String)
SENSITIVE_UNCATEGORIZED,CharSequence android.content.res.Resources.getText(int)
SENSITIVE_UNCATEGORIZED,CharSequence android.content.res.Resources.getText(int,CharSequence)
SENSITIVE_UNCATEGORIZED,CharSequence android.content.res.TypedArray.getText(int)
SENSITIVE_UNCATEGORIZED,CharSequence android.support.v4.view.PagerAdapter.getPageTitle(int)
SENSITIVE_UNCATEGORIZED,CharSequence android.text.method.ReplacementTransformationMethod.getTransformation(CharSequence,View)
SENSITIVE_UNCATEGORIZED,CharSequence android.view.View.getContentDescription()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityNodeInfo.getClassName()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityNodeInfo.getContentDescription()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityNodeInfo.getPackageName()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityNodeInfo.getText()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityRecord.getBeforeText()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityRecord.getClassName()
SENSITIVE_UNCATEGORIZED,CharSequence android.view.accessibility.AccessibilityRecord.getContentDescription()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.app.ActionBarImpl$ActionModeImpl.getSubtitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.app.ActionBarImpl$ActionModeImpl.getTitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.app.ActionBarImpl$TabImpl.getText()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.app.ActionBarImpl.getSubtitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.app.ActionBarImpl.getTitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.view.menu.ActionMenuItem.getTitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.view.menu.ActionMenuItem.getTitleCondensed()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.view.menu.MenuItemImpl.getTitle()
SENSITIVE_UNCATEGORIZED,CharSequence com.android.internal.view.menu.MenuItemImpl.getTitleCondensed()
SENSITIVE_UNCATEGORIZED,CharSequence[] android.content.Intent.getCharSequenceArrayExtra(String)
SENSITIVE_UNCATEGORIZED,CharSequence[] android.content.res.TypedArray.getTextArray(int)
SENSITIVE_UNCATEGORIZED,Class java.lang.Enum.getDeclaringClass()
SENSITIVE_UNCATEGORIZED,Class java.lang.reflect.Constructor.getDeclaringClass()
SENSITIVE_UNCATEGORIZED,Class java.lang.reflect.Field.getDeclaringClass()
SENSITIVE_UNCATEGORIZED,Class java.lang.reflect.Field.getType()
SENSITIVE_UNCATEGORIZED,Class java.lang.reflect.Method.getDeclaringClass()
SENSITIVE_UNCATEGORIZED,Class java.lang.reflect.Method.getReturnType()
SENSITIVE_UNCATEGORIZED,Class org.apache.harmony.luni.lang.reflect.ImplForType.getRawType()
SENSITIVE_UNCATEGORIZED,ClassLoader android.app.ContextImpl.getClassLoader()
SENSITIVE_UNCATEGORIZED,ClassLoader android.content.ContextWrapper.getClassLoader()
SENSITIVE_UNCATEGORIZED,ClassLoader java.lang.Class.getClassLoader()
SENSITIVE_UNCATEGORIZED,ClassLoader java.lang.Thread.getContextClassLoader()
SENSITIVE_UNCATEGORIZED,Class[] java.lang.reflect.Constructor.getParameterTypes()
SENSITIVE_UNCATEGORIZED,Class[] java.lang.reflect.Method.getExceptionTypes()
SENSITIVE_UNCATEGORIZED,Class[] java.lang.reflect.Method.getParameterTypes()
SENSITIVE_UNCATEGORIZED,CoderResult java.nio.charset.CharsetDecoder.decode(ByteBuffer,CharBuffer,boolean)
